,c_inverse,max_inter,solver,penalty,accuracy
114,100.0,500,saga,l1,0.72580956298762
115,100.0,700,lbfgs,l2,0.7258270791901072
116,100.0,700,liblinear,l2,0.7258095660552562
117,100.0,700,liblinear,l1,0.7258095660552562
118,100.0,700,saga,l2,0.72580956298762
119,100.0,700,saga,l1,0.7258445892573222
120,100.0,900,lbfgs,l2,0.7258270791901072
121,100.0,900,liblinear,l2,0.7258095660552562
122,100.0,900,liblinear,l1,0.7257920498527689
123,100.0,900,saga,l2,0.7258270761224711
124,100.0,900,saga,l1,0.7258270761224711
